編號,案類,發生(現)日期,發生時段,發生(現)地點,location
1,自行車竊盜,1040101,16~18,台北市大安區住安里四維路124巷1-30號,"25.0318503,121.54784629999995"
2,自行車竊盜,1040104,07~09,台北市大安區敦煌里仁愛路四段266巷1-30號,"25.0382984,121.5440218"
3,自行車竊盜,1040106,13~15,台北市萬華區國興路1-30號,"25.0236573,121.50851579999994"
4,自行車竊盜,1040108,07~09,台北市北投區清江里三合街二段481-510號,"25.1262794,121.50135009999997"
5,自行車竊盜,1040108,16~18,台北市松山區延壽街391-420號,"25.0564796,121.5575652"
6,自行車竊盜,1040109,04~06,台北市南港區三重里南港路一段南港展覽館站,"25.0554052,121.61785209999994"
7,自行車竊盜,1040109,13~15,台北市內湖區金湖里康寧路三段31-60號,"25.0728127,121.60707769999999"
8,自行車竊盜,1040109,13~15,台北市北投區大同里光明路1-30號,"25.131841,121.49863299999993"
9,自行車竊盜,1040110,04~06,台北市內湖區康寧路三段31-60號,"25.0728127,121.60707769999999"
10,自行車竊盜,1040110,10~12,台北市松山區三民路121-150號,"25.061144,121.5633312"
11,自行車竊盜,1040110,16~18,台北市萬華區西昌街29巷1-30號,"25.042786,121.50081399999999"
12,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,"25.0551019,121.60324200000002"
13,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,"25.0551019,121.60324200000002"
14,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,"25.0551019,121.60324200000002"
15,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,"25.0551019,121.60324200000002"
16,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,"25.0551019,121.60324200000002"
17,自行車竊盜,1040111,07~09,台北市萬華區萬大路387巷1-30號,"25.0327132,121.50064470000007"
18,自行車竊盜,1040111,13~15,台北市北投區大同里光明路1-30號,"25.131841,121.49863299999993"
19,自行車竊盜,1040113,10~12,台北市中正區忠孝東路一段31-60號,"25.0445321,121.52550640000004"
20,自行車竊盜,1040115,07~09,台北市信義區中行里福德街221巷4弄1-30號,"25.0382612,121.58499619999998"
21,自行車竊盜,1040116,04~06,台北市松山區撫遠街361-390號,"25.0630373,121.56594719999998"
22,自行車竊盜,1040117,16~18,台北市大安區仁慈里仁愛路四段1-30號,"25.0382984,121.5440218"
23,自行車竊盜,1040118,07~09,台北市萬華區西園路二段91-120號,"25.030491,121.49679900000001"
24,自行車竊盜,1040119,07~09,台北市信義區大道里忠孝東路五段781-810號,"25.0439499,121.581816"
25,自行車竊盜,1040120,10~12,台北市信義區西村里松壽路1-30號,"25.035706,121.56805299999996"
26,自行車竊盜,1040121,10~12,台北市內湖區南湖里東湖捷運站,"25.067247,121.61150399999997"
27,自行車竊盜,1040121,10~12,台北市內湖區港墘里內湖路一段661-690號,"25.0802328,121.57552599999997"
28,自行車竊盜,1040122,22~24,台北市北投區一德里中央北路四段577巷27弄1-30號,"25.1265373,121.46780149999995"
29,自行車竊盜,1040123,16~18,台北市南港區東明里南港路二段1-30號,"25.0543068,121.6053326"
30,自行車竊盜,1040123,16~18,台北市南港區東明里南港路二段與興華路口,"25.0542865,121.60620459999996"
31,自行車竊盜,1040123,19~21,台北市北投區東華里東華街二段301-330號,"25.1208763,121.50621939999996"
32,自行車竊盜,1040123,19~21,台北市北投區石牌里自強街91-120號,"25.1107991,121.51563179999994"
33,自行車竊盜,1040123,22~24,台北市松山區三民路62巷1-30號,"25.0546655,121.56403339999997"
34,自行車竊盜,1040124,22~24,台北市中正區黎明里市民大道一段台北捷運站,"25.0464924,121.51728950000006"
35,自行車竊盜,1040125,10~12,台北市中正區東門里愛國東路上,"25.0335951,121.51990460000002"
36,自行車竊盜,1040125,10~12,台北市南港區鴻福里成福路31-60號,"25.0446815,121.58655380000005"
37,自行車竊盜,1040125,13~15,台北市萬華區西園路二段211-240號,"25.0271608,121.49429609999993"
38,自行車竊盜,1040126,10~12,台北市信義區忠孝東路五段市府捷運站,"25.0409614,121.56508209999993"
39,自行車竊盜,1040126,13~15,台北市萬華區寶興街121-150號,"25.0252155,121.49484810000001"
40,自行車竊盜,1040127,16~18,台北市北投區桃源里中央北路三段53巷1-30號,"25.1383699,121.48591329999999"
41,自行車竊盜,1040128,04~06,台北市文山區興邦里興隆路二段181-210號,"25.0006761,121.54924890000007"
42,自行車竊盜,1040128,13~15,台北市大安區信義路敦化南路口,"25.0333505,121.5485602"
43,自行車竊盜,1040129,16~18,台北市大安區敦煌里安和路一段61-90號,"25.0375068,121.55156799999997"
44,自行車竊盜,1040130,10~12,台北市萬華區西園路二段241-270號,"25.0264692,121.49347820000003"
45,自行車竊盜,1040130,16~18,台北市北投區一德里大度路三段296巷31-60號,"25.1242089,121.46677"
46,自行車竊盜,1040131,16~18,台北市中山區松江路361-390號,"25.0636359,121.533545"
47,自行車竊盜,1040201,19~21,台北市松山區慶城街1-30號,"25.0528006,121.54460399999994"
48,自行車竊盜,1040204,19~21,台北市大同區星明里寧夏路1-30號,"25.0559146,121.51512709999997"
49,自行車竊盜,1040205,07~09,台北市北投區關渡里關渡路61-90號,"25.118642,121.46881600000006"
50,自行車竊盜,1040205,16~18,台北市北投區榮光里致遠一路二段31-60號,"25.1120478,121.51389219999999"
51,自行車竊盜,1040205,19~21,台北市信義區長春里虎林街82巷31-60號,"25.0432781,121.57595860000004"
52,自行車竊盜,1040207,13~15,台北市士林區中山北路五段61-90號,"25.0836293,121.52560970000002"
53,自行車竊盜,1040210,10~12,台北市信義區安康里信義路五段象山捷運站,"25.032765,121.57035399999995"
54,自行車竊盜,1040212,07~09,台北市文山區景慶里景福街223巷口,"24.9945343,121.53782320000005"
