ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1018.7,1022.3,1020.1,11/1/16 20:45,1017.4,11/1/16 04:09,22.0,23.5,11/1/16 15:01,20.8,11/1/16 18:04,16.9,73,62,11/1/16 23:48,4.3,50,18.6,50,11/1/16 22:55,1.3,3.6,0.6,11/1/16 07:17,0.8,11/1/16 06:40,0.1,0.9,6.79,12.4,-2.0
2,1018.7,1022.3,1020.3,11/2/16 08:31,1017.3,11/2/16 14:47,20.5,21.5,11/2/16 14:04,19.2,11/2/16 05:16,14.6,69,61,11/2/16 21:09,3.8,50,12.9,50,11/2/16 07:37,0.0,0.0,0.0,,0.0,,0.0,0.0,4.45,23.0,1.8
3,1016.0,1019.6,1018.2,11/3/16 00:12,1013.4,11/3/16 23:45,21.0,22.7,11/3/16 10:19,19.5,11/3/16 03:51,15.4,70,64,11/3/16 00:26,3.3,60,11.3,60,11/3/16 12:02,0.0,0.0,0.0,,0.0,,0.3,2.7,5.60,14.6,-1.6
4,1010.9,1014.5,1013.5,11/4/16 00:01,1008.9,11/4/16 23:47,21.5,22.9,11/4/16 15:47,20.9,11/4/16 09:23,18.0,80,73,11/4/16 00:01,3.0,50,9.7,50,11/4/16 20:11,0.9,5.7,0.4,11/4/16 09:35,0.5,11/4/16 09:05,1.2,10.9,5.81,11.2,-0.3
5,1008.9,1012.5,1010.6,11/5/16 08:40,1007.3,11/5/16 13:10,23.9,29.5,11/5/16 13:55,19.8,11/5/16 03:20,18.3,72,49,11/5/16 13:26,1.4,50,6.8,50,11/5/16 15:51,0.0,0.0,0.0,,0.0,,7.1,64.4,14.80,19.0,2.0
6,1011.4,1015.0,1013.5,11/6/16 09:14,1009.2,11/6/16 00:17,24.9,30.3,11/6/16 13:33,19.8,11/6/16 05:14,18.5,68,50,11/6/16 14:33,2.0,50,9.8,50,11/6/16 21:48,0.0,0.0,0.0,,0.0,,7.3,66.3,16.42,29.0,3.8
7,1013.0,1016.5,1015.0,11/7/16 07:34,1010.7,11/7/16 14:49,26.0,31.1,11/7/16 13:40,23.2,11/7/16 06:26,18.0,62,45,11/7/16 13:34,2.5,50,8.8,50,11/7/16 06:19,0.0,0.0,0.0,,0.0,,4.7,42.8,14.78,24.4,2.7
8,1015.3,1018.9,1019.3,11/8/16 22:43,1012.4,11/8/16 02:21,22.8,27.8,11/8/16 11:40,19.8,11/8/16 23:37,17.7,73,67,11/8/16 09:53,1.7,50,7.6,20,11/8/16 13:44,T,3.1,T,11/8/16 16:20,T,11/8/16 16:20,2.0,18.2,4.40,12.8,-1.2
9,1017.9,1021.5,1020.7,11/9/16 09:09,1015.9,11/9/16 23:59,19.6,20.6,11/9/16 17:59,18.6,11/9/16 04:33,14.6,73,66,11/9/16 17:51,3.1,70,9.6,60,11/9/16 19:35,0.0,0.0,0.0,,0.0,,0.0,0.0,2.28,10.0,-4.7
10,1016.1,1019.7,1017.7,11/10/16 09:04,1014.5,11/10/16 03:05,19.4,20.5,11/10/16 12:16,18.7,11/10/16 05:57,16.7,84,76,11/10/16 00:28,1.8,60,8.9,60,11/10/16 00:30,6.1,14.3,0.7,11/10/16 05:22,1.7,11/10/16 05:18,0.0,0.0,0.44,7.6,X
11,1015.7,1019.3,1017.7,11/11/16 09:41,1013.9,11/11/16 15:21,21.4,24.2,11/11/16 13:11,19.6,11/11/16 00:01,15.0,67,58,11/11/16 13:11,4.3,50,13.8,50,11/11/16 09:22,0.0,0.0,0.0,,0.0,,3.0,27.5,11.92,21.0,2.1
12,1014.6,1018.2,1015.9,11/12/16 09:03,1013.1,11/12/16 12:55,24.5,29.8,11/12/16 12:44,21.8,11/12/16 04:56,17.8,67,50,11/12/16 12:43,1.3,50,8.7,320,11/12/16 13:13,T,0.6,T,11/12/16 13:46,T,11/12/16 13:46,3.6,33.0,10.86,18.0,-3.5
13,1013.2,1016.7,1015.3,11/13/16 08:35,1010.4,11/13/16 14:31,25.6,32.5,11/13/16 14:03,20.9,11/13/16 06:02,19.3,69,46,11/13/16 14:07,1.0,160,6.1,60,11/13/16 11:07,0.0,0.0,0.0,,0.0,,10.0,91.9,17.18,30.6,1.1
14,1011.6,1015.1,1013.4,11/14/16 08:28,1009.3,11/14/16 13:39,25.6,31.7,11/14/16 13:00,22.1,11/14/16 05:59,20.4,74,55,11/14/16 13:11,1.0,160,5.8,310,11/14/16 14:20,0.0,0.0,0.0,,0.0,,6.0,55.3,14.28,6.2,2.3
15,1013.7,1017.2,1015.2,11/15/16 22:16,1012.0,11/15/16 02:28,24.3,27.5,11/15/16 11:13,23.0,11/15/16 22:32,19.6,75,68,11/15/16 14:10,4.3,50,14.2,40,11/15/16 15:27,0.0,0.0,0.0,,0.0,,7.0,64.6,14.79,13.0,4.4
16,1013.9,1017.4,1015.9,11/16/16 09:00,1011.8,11/16/16 14:00,24.0,27.1,11/16/16 13:34,22.4,11/16/16 05:47,18.6,72,65,11/16/16 12:17,4.9,50,14.5,40,11/16/16 06:20,0.0,0.0,0.0,,0.0,,7.9,73.0,15.70,14.8,2.3
